#This file has been generated automatically by FeynRules 1.5.8    Date: 5. 7. 2009,    12:17

# Interactions associated with SUSY
w+   w-   a MGVX3   QED
g   g   g MGVX1   QCD
w-   w+   z MGVX5   QED
w+   a   w-   a MGVX4   DUM0   QED QED n
w+   a   w-   z MGVX7   DUM0   QED QED n
g   g   T1 MGVX2   QCD a
w+   w-   w+   w- MGVX6   DUM0   QED QED n
w+   z   w-   z MGVX8   DUM0   QED QED n
e-   e-   a MGVX12   QED
mu-   mu-   a MGVX12   QED
tau-   tau-   a MGVX12   QED
e-   ve   w- MGVX27   QED
mu-   vm   w- MGVX27   QED
tau-   vt   w- MGVX27   QED
ve   e-   w+ MGVX27   QED
vm   mu-   w+ MGVX27   QED
vt   tau-   w+ MGVX27   QED
e-   e-   z MGVX39   QED
mu-   mu-   z MGVX39   QED
tau-   tau-   z MGVX39   QED
ve   ve   z MGVX45   QED
vm   vm   z MGVX45   QED
vt   vt   z MGVX45   QED
x1+   x1+   a MGVX343   QED
x2+   x2+   a MGVX343   QED
x1+   x1+   h2 MGVX346   QED
x2+   x1+   h2 MGVX347   QED
x1+   x2+   h2 MGVX348   QED
x2+   x2+   h2 MGVX349   QED
n1   e-   sl2+ MGVX350   QED
n2   e-   sl2+ MGVX351   QED
n3   e-   sl2+ MGVX352   QED
n4   e-   sl2+ MGVX353   QED
n1   mu-   sl3+ MGVX354   QED
n2   mu-   sl3+ MGVX355   QED
n3   mu-   sl3+ MGVX356   QED
n4   mu-   sl3+ MGVX357   QED
x1+   n1   h+ MGVX358   QED
x2+   n1   h+ MGVX359   QED
n1   n1   h2 MGVX360   QED
n1   n1   h1 MGVX361   QED
n1   n1   h3 MGVX362   QED
n2   n1   h2 MGVX363   QED
n2   n1   h1 MGVX364   QED
n2   n1   h3 MGVX365   QED
n3   n1   h2 MGVX366   QED
n3   n1   h1 MGVX367   QED
n3   n1   h3 MGVX368   QED
n4   n1   h2 MGVX369   QED
n4   n1   h1 MGVX370   QED
n4   n1   h3 MGVX371   QED
x1+   n2   h+ MGVX372   QED
x2+   n2   h+ MGVX373   QED
n2   n2   h2 MGVX374   QED
n2   n2   h1 MGVX375   QED
n2   n2   h3 MGVX376   QED
n3   n2   h2 MGVX377   QED
n3   n2   h1 MGVX378   QED
n3   n2   h3 MGVX379   QED
n4   n2   h2 MGVX380   QED
n4   n2   h1 MGVX381   QED
n4   n2   h3 MGVX382   QED
x1+   n3   h+ MGVX383   QED
x2+   n3   h+ MGVX384   QED
n3   n3   h2 MGVX385   QED
n3   n3   h1 MGVX386   QED
n3   n3   h3 MGVX387   QED
n4   n3   h2 MGVX388   QED
n4   n3   h1 MGVX389   QED
n4   n3   h3 MGVX390   QED
x1+   n4   h+ MGVX391   QED
x2+   n4   h+ MGVX392   QED
n4   n4   h2 MGVX393   QED
n4   n4   h1 MGVX394   QED
n4   n4   h3 MGVX395   QED
n1   tau-   sl1+ MGVX396   QED
n1   tau-   sl6+ MGVX397   QED
n2   tau-   sl1+ MGVX398   QED
n2   tau-   sl6+ MGVX399   QED
n3   tau-   sl1+ MGVX400   QED
n3   tau-   sl6+ MGVX401   QED
n4   tau-   sl1+ MGVX402   QED
n4   tau-   sl6+ MGVX403   QED
x1+   x1+   h1 MGVX420   QED
x1+   x1+   h3 MGVX421   QED
x2+   x1+   h1 MGVX422   QED
x2+   x1+   h3 MGVX423   QED
x1+   x2+   h1 MGVX424   QED
x1+   x2+   h3 MGVX425   QED
x2+   x2+   h1 MGVX426   QED
x2+   x2+   h3 MGVX427   QED
n1   e-   sl5+ MGVX428   QED
n1   mu-   sl4+ MGVX429   QED
n1   ve   sv3~ MGVX430   QED
n1   vm   sv2~ MGVX431   QED
n1   vt   sv1~ MGVX432   QED
n2   e-   sl5+ MGVX435   QED
n2   mu-   sl4+ MGVX436   QED
n2   ve   sv3~ MGVX437   QED
n2   vm   sv2~ MGVX438   QED
n2   vt   sv1~ MGVX439   QED
n3   e-   sl5+ MGVX442   QED
n3   mu-   sl4+ MGVX443   QED
n3   ve   sv3~ MGVX444   QED
n3   vm   sv2~ MGVX445   QED
n3   vt   sv1~ MGVX446   QED
n4   e-   sl5+ MGVX449   QED
n4   mu-   sl4+ MGVX450   QED
n4   ve   sv3~ MGVX451   QED
n4   vm   sv2~ MGVX452   QED
n4   vt   sv1~ MGVX453   QED
vt   x1+   sl1- MGVX488   QED
vt   x2+   sl1- MGVX489   QED
tau-   n1   sl1- MGVX490   QED
tau-   n2   sl1- MGVX491   QED
tau-   n3   sl1- MGVX492   QED
tau-   n4   sl1- MGVX493   QED
e-   n1   sl2- MGVX494   QED
e-   n2   sl2- MGVX495   QED
e-   n3   sl2- MGVX496   QED
e-   n4   sl2- MGVX497   QED
mu-   n1   sl3- MGVX498   QED
mu-   n2   sl3- MGVX499   QED
mu-   n3   sl3- MGVX500   QED
mu-   n4   sl3- MGVX501   QED
vm   x1+   sl4- MGVX502   QED
vm   x2+   sl4- MGVX503   QED
mu-   n1   sl4- MGVX504   QED
mu-   n2   sl4- MGVX505   QED
mu-   n3   sl4- MGVX506   QED
mu-   n4   sl4- MGVX507   QED
ve   x1+   sl5- MGVX508   QED
ve   x2+   sl5- MGVX509   QED
e-   n1   sl5- MGVX510   QED
e-   n2   sl5- MGVX511   QED
e-   n3   sl5- MGVX512   QED
e-   n4   sl5- MGVX513   QED
vt   x1+   sl6- MGVX514   QED
vt   x2+   sl6- MGVX515   QED
tau-   n1   sl6- MGVX516   QED
tau-   n2   sl6- MGVX517   QED
tau-   n3   sl6- MGVX518   QED
tau-   n4   sl6- MGVX519   QED
vt   n1   sv1 MGVX520   QED
vt   n2   sv1 MGVX521   QED
vt   n3   sv1 MGVX522   QED
vt   n4   sv1 MGVX523   QED
tau-   x1-   sv1 MGVX524   QED
tau-   x2-   sv1 MGVX525   QED
vm   n1   sv2 MGVX526   QED
vm   n2   sv2 MGVX527   QED
vm   n3   sv2 MGVX528   QED
vm   n4   sv2 MGVX529   QED
mu-   x1-   sv2 MGVX530   QED
mu-   x2-   sv2 MGVX531   QED
ve   n1   sv3 MGVX532   QED
ve   n2   sv3 MGVX533   QED
ve   n3   sv3 MGVX534   QED
ve   n4   sv3 MGVX535   QED
e-   x1-   sv3 MGVX536   QED
e-   x2-   sv3 MGVX537   QED
n1   x1+   h- MGVX538   QED
n2   x1+   h- MGVX539   QED
n3   x1+   h- MGVX540   QED
n4   x1+   h- MGVX541   QED
n1   x2+   h- MGVX542   QED
n2   x2+   h- MGVX543   QED
n3   x2+   h- MGVX544   QED
n4   x2+   h- MGVX545   QED
x1+   ve   sl5+ MGVX626   QED
x1+   vm   sl4+ MGVX627   QED
x1+   vt   sl1+ MGVX628   QED
x1+   vt   sl6+ MGVX629   QED
x2+   ve   sl5+ MGVX634   QED
x2+   vm   sl4+ MGVX635   QED
x2+   vt   sl1+ MGVX636   QED
x2+   vt   sl6+ MGVX637   QED
